1,990
2,511
3,323
4,264
5,216
6,197
7,220
8,210
9,209
10,237
11,211
12,218
13,229
14,240
15,241
16,227
17,234
18,210
19,230
20,216
21,235
22,222
23,224
24,233
25,217
26,238
27,226
28,237
29,221
30,223
31,229
32,222
33,221
34,228
35,223
36,241
37,230
38,243
39,200
40,219
41,209
42,227
43,213
44,213
45,213
46,221
47,199
48,230
49,227
50,214
51,217
52,209
53,240
54,211
55,211
56,226
57,241
58,198
59,231
60,239
61,222
62,206
63,228
64,242
65,220
66,212
67,246
68,241
69,213
70,212
71,210
72,232
73,248
74,242
75,231
76,215
77,258
78,261
79,247
80,219
81,234
82,201
83,220
84,247
85,262
86,235
87,219
88,247
89,223
90,230
91,274
92,261
93,263
94,257
95,249
96,221
97,233
98,221
99,218
100,224
101,264
102,240
103,270
104,266
105,243
106,280
107,236
108,223
109,247
110,244
111,241
112,288
113,300
114,266
115,293
116,255
117,258
118,252
119,244
120,238
121,238
122,231
123,230
124,237
125,243
126,273
127,278
128,256
129,281
130,298
131,237
132,249
133,303
134,248
135,249
136,239
137,227
138,237
139,245
140,224
141,232
142,243
143,286
144,292
145,313
146,269
147,295
148,313
149,265
150,300
151,308
152,270
153,254
154,269
155,260
156,256
157,254
158,249
159,247
160,264
161,247
162,238
163,253
164,233
165,231
166,231
167,333
168,346
169,338
170,320
171,323
172,345
173,311
174,311
175,306
176,271
177,299
178,319
179,285
180,303
181,278
182,256
183,269
184,270
185,279
186,249
187,293
188,275
189,241
190,246
191,249
192,255
193,264
194,250
195,247
196,245
197,260
198,239
199,249
200,253
201,361
202,386
203,371
204,358
205,342
206,347
207,362
208,360
209,344
210,357
211,355
212,336
213,322
214,348
215,304
216,312
217,322
218,321
219,311
220,330
221,301
222,265
223,287
224,303
225,289
226,284
227,259
228,291
229,292
230,276
231,274
232,279
233,283
234,299
235,279
236,264
237,266
238,247
239,247
240,265
241,268
242,246
243,249
244,258
245,272
246,271
247,255
248,250
249,250
250,264
251,403
252,413
253,410
254,402
255,385
256,391
257,391
258,394
259,403
260,382
261,393
262,398
263,373
264,390
265,386
266,385
267,371
268,384
269,389
270,379
271,385
272,367
273,368
274,390
275,362
276,343
277,380
278,338
279,357
280,382
281,355
282,341
283,364
284,357
285,339
286,363
287,344
288,324
289,356
290,327
291,337
292,346
293,347
294,370
295,332
296,328
297,325
298,315
299,346
300,310
301,304
302,305
303,286
304,346
305,281
306,269
307,292
308,291
309,276
310,305
311,289
312,288
313,306
314,277
315,271
316,299
317,292
318,275
319,291
320,279
321,291
322,284
323,282
324,280
325,267
326,282
327,294
328,264
329,265
330,273
331,280
332,294
333,276
334,498
335,497
336,484
337,494
338,498
339,470
340,481
341,475
342,482
343,501
344,468
345,471
346,448
347,503
348,464
349,512
350,441
351,455
352,491
353,473
354,445
355,503
356,455
357,444
358,470
359,457
360,446
361,465
362,443
363,440
364,458
365,476
366,437
367,459
368,435
369,436
370,458
371,426
372,432
373,456
374,434
375,478
376,457
377,415
378,438
379,449
380,429
381,436
382,433
383,426
384,406
385,444
386,427
387,439
388,423
389,384
390,393
391,430
392,419
393,407
394,429
395,391
396,388
397,407
398,387
399,397
400,437
401,404
402,420
403,386
404,407
405,400
406,413
407,423
408,404
409,420
410,415
411,386
412,433
413,394
414,386
415,402
416,380
417,391
418,399
419,380
420,373
421,399
422,384
423,348
424,404
425,381
426,384
427,461
428,592
429,375
430,404
431,381
432,366
433,372
434,343
435,370
436,389
437,371
438,365
439,367
440,359
441,365
442,390
443,342
444,326
445,355
446,371
447,339
448,380
449,355
450,345
451,362
452,359
453,330
454,359
455,344
456,323
457,379
458,333
459,315
460,345
461,370
462,329
463,322
464,325
465,334
466,353
467,341
468,332
469,341
470,305
471,321
472,368
473,348
474,298
475,323
476,318
477,326
478,338
479,303
480,316
481,322
482,342
483,307
484,311
485,306
486,325
487,331
488,316
489,306
490,331
491,316
492,332
493,323
494,318
495,302
496,328
497,331
498,305
499,317
500,301
